,Name,University,JoinYear,Rank,Subfield,Bachelors,Masters,Doctorate,PostDoc,Sources1,Sources2,url
0,Chitta Baral,Arizona State University,1999,Full,Natural Language & Speech,Indian Institute of Technology - Kanpur - India,University of Maryland - College Park - USA,University of Maryland - College Park - USA,,http://cidse.engineering.asu.edu/directory/chitta-baral/,,/directory/chitta-baral/
1,Kasim Candan,Arizona State University,1997,Full,Databases,Bilkent University - Turkey,,University of Maryland - College Park - USA,,http://cidse.engineering.asu.edu/directory/candan-k-selcuk/,,/directory/candan-k-selcuk/
2,Charles Colbourn,Arizona State University,2001,Full,Networks & Communications, University of Toronto - Canada,University of Waterloo - Ontario - Canada, University of Toronto - Canada,,http://cidse.engineering.asu.edu/directory/charles-colbourn/,,/directory/charles-colbourn/
3,James Collofello,Arizona State University,1979,Full,Software Engineering,Northern Illinois University - USA,Northern Illinois University - USA,Northwestern University - USA,,http://cidse.engineering.asu.edu/directory/collofello-james/,,/directory/collofello-james/
4,Sandeep Gupta,Arizona State University,2001,Full,Distributed & Parallel Computing,,,Ohio State University - USA,,http://cidse.engineering.asu.edu/directory/gupta-sandeep/,,/directory/gupta-sandeep/
5,Subbarao Kambhampati,Arizona State University,1991,Full,Artificial Intelligence,Indian Institute of Technology - Madras - India,University of Maryland - College Park - USA,University of Maryland - College Park - USA,,http://cidse.engineering.asu.edu/directory/subbarao-kambhampati/,http://rakaposhi.eas.asu.edu/rao.html,/directory/subbarao-kambhampati/
6,Huan Liu,Arizona State University,2000,Full,Machine Learning & Pattern Recognition,Shanghai Jiaotong University - China,University of Southern California - USA,University of Southern California - USA,,http://cidse.engineering.asu.edu/directory/huan-liu/,,/directory/huan-liu/
7,Arunabha Sen,Arizona State University,1987,Full,Networks & Communications,,,University of South Carolina - USA,,http://cidse.engineering.asu.edu/directory/sen-arunabha/,,/directory/sen-arunabha/
8,Wei-Tek Tsai,Arizona State University,2000,Full,Distributed & Parallel Computing,,,University of California - Berkeley - USA,,http://cidse.engineering.asu.edu/directory/tsai-wei-tek/,,/directory/tsai-wei-tek/
9,Kurt VanLehn,Arizona State University,2008,Full,Machine Learning & Pattern Recognition,,,Massachusetts Institute of Technology - USA,,http://cidse.engineering.asu.edu/directory/kurt-vanlehn/,,/directory/kurt-vanlehn/
10,Guoliang Xue,Arizona State University,2001,Full,Security & Privacy,Qufu Normal University - China,Qufu Normal University - China,University of Minnesota - Twin Cities - USA,,http://cidse.engineering.asu.edu/directory/xue-guoliang/,,/directory/xue-guoliang/
11,Rida Bazzi,Arizona State University,1996,Associate,Security & Privacy,American University of Beirut - Lebanon,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,,http://cidse.engineering.asu.edu/directory/rida-bazzi/,,/directory/rida-bazzi/
12,Partha Dasgupta,Arizona State University,1991,Associate,Security & Privacy,Indian Institute of Technology - Kharagpur - India,Indian Institute of Technology - Kharagpur - India,State University of New York - Stony Brook - USA,,http://cidse.engineering.asu.edu/directory/dasgupta-partha/,,/directory/dasgupta-partha/
13,Hasan Davulcu,Arizona State University,,Associate,Data Mining,Middle East Technical University - Turkey,State University of New York - Stony Brook - USA,State University of New York - Stony Brook - USA,,http://cidse.engineering.asu.edu/directory/davulcu-hasan/,,/directory/davulcu-hasan/
14,Joohyung Lee,Arizona State University,2005,Associate,Natural Language & Speech,Seoul National University - Seoul - Korea,,University of Texas - Austin - USA,,http://cidse.engineering.asu.edu/directory/joohyung-lee/,,/directory/joohyung-lee/
15,Brian Nelson,Arizona State University,,Associate,Computer Education,Washington State University - USA,Saint Michaels College - USA,Harvard University - USA,,http://cidse.engineering.asu.edu/directory/nelson-brian/,,/directory/nelson-brian/
16,Andrea Richa,Arizona State University,1998,Associate,Algorithms & Theory,Federal University of Rio de Janeiro - Brazil,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://cidse.engineering.asu.edu/directory/andrea-richa/,,/directory/andrea-richa/
17,Violet Syrotiuk,Arizona State University,2002,Associate,Networks & Communications,University of Alberta - Canada,University of British Columbia - Canada,University of Waterloo - Ontario - Canada,,http://cidse.engineering.asu.edu/directory/syrotiuk-violet/,,/directory/syrotiuk-violet/
18,Peter Wonka,Arizona State University,2004,Associate,Graphics,Vienna University of Technology - Austria,Vienna University of Technology - Austria,Vienna University of Technology - Austria,,http://cidse.engineering.asu.edu/directory/wonka-peter/,,/directory/wonka-peter/
19,Jieping Ye,Arizona State University,2005,Associate,Machine Learning & Pattern Recognition,Fudan University - Shanghai - China,National University of Singapore - Singapore,University of Minnesota - Twin Cities - USA,,http://cidse.engineering.asu.edu/directory/ye-jieping/,,/directory/ye-jieping/
20,Georgios Fainekos,Arizona State University,2009,Assistant,Real-Time & Embedded Systems,National Technical University of Athens - Greece,University of Pennsylvania - USA,University of Pennsylvania - USA,,http://cidse.engineering.asu.edu/directory/fainekos-georgios/,,/directory/fainekos-georgios/
21,Aviral Shrivastava,Arizona State University,2006,Assistant,Real-Time & Embedded Systems,Indian Institute of Technology - Delhi - India,University of California - Irvine - USA,University of California - Irvine - USA,,http://cidse.engineering.asu.edu/directory/shrivastava-aviral/,,/directory/shrivastava-aviral/
22,Yalin Wang,Arizona State University,2010,Assistant,Computer Vision,Tsinghua University - Beijing - China,Tsinghua University - Beijing - China,University of Washington - USA,,http://cidse.engineering.asu.edu/directory/wang-yalin/,,/directory/wang-yalin/
23,Assaf J. Kfoury,Boston University,,Full,Programming Languages,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.bu.edu/fac/kfoury/,http://cns.bu.edu/people/extended.html,/fac/kfoury/
24,Azer Bestavros,Boston University,1991,Full,Networks & Communications,Alexandria University - Egypt,Alexandria University - Egypt,Harvard University - USA,,http://azer.bestavros.net/,,/
25,Evimaria Terzi,Boston University,2009,Associate,Data Mining,Aristotle University of Thessaloniki - Greece,Purdue University - USA,University of Helsinki - Finland,Helsinki Institute for Information Technology - Finland,http://www.cs.bu.edu/fac/evimaria/,,/fac/evimaria/
26,George Kollios,Boston University,2000,Full,Databases,National Technical University of Athens - Greece,Polytechnic University - Brooklyn - New York - USA,Polytechnic University - Brooklyn - New York - USA,,http://www.cs.bu.edu/fac/gkollios/,,/fac/gkollios/
27,Hongwei Xi,Boston University,2001,Associate,Programming Languages,Nanjing University - Ch,,Carnegie Mellon University - USA,,http://www.cs.bu.edu/fac/hwxi/,,/fac/hwxi/
28,Ibrahim Matta,Boston University,1999,Full,Networks & Communications,Alexandria University - Egypt,Alexandria University - Egypt,University of Maryland - College Park - USA,,http://www.cs.bu.edu/fac/matta/,,/fac/matta/
29,John Byers,Boston University,1999,Full,Networks & Communications,Cornell University - USA,,University of California - Berkeley - USA,,http://www.cs.bu.edu/fac/byers/,,/fac/byers/
